IndicatorCode,SpatialDim,ParentLocation,TimeDim,NumericValue,Low,High,Dim1
WHOSIS_000001,AUS,Western Pacific,2008,79.181,79.17156,79.25412,SEX_MLE
WHOSIS_000001,MYS,Western Pacific,2002,71.68687,71.65485,71.79063,SEX_MLE
WHOSIS_000001,SVN,Europe,2011,82.83273,82.72096,83.02142,SEX_FMLE
WHOSIS_000001,VEN,Americas,2018,77.42804,77.09233,77.87539,SEX_FMLE
WHOSIS_000001,BLZ,Americas,2013,71.7962,71.59969,72.05731,SEX_MLE
WHOSIS_000001,HND,Americas,2004,71.36391,70.59636,72.28679,SEX_FMLE
WHOSIS_000001,CHE,Europe,2021,83.32796,83.30044,83.41706,SEX_BTSX
WHOSIS_000001,PAN,Americas,2010,73.87701,73.68736,74.12506,SEX_MLE
WHOSIS_000001,MDG,Africa,2005,60.67184,60.10173,61.44981,SEX_BTSX
WHOSIS_000001,GRC,Europe,2016,80.71257,80.70057,80.79739,SEX_BTSX
WHOSIS_000001,BIH,Europe,2019,74.63859,74.56627,74.79351,SEX_MLE
WHOSIS_000001,GRC,Europe,2015,82.70013,82.68964,82.78296,SEX_FMLE
WHOSIS_000001,GBR,Europe,2006,79.22561,79.1674,79.28382,SEX_BTSX
WHOSIS_000001,JAM,Americas,2002,70.92817,70.66645,71.23426,SEX_MLE
WHOSIS_000001,QAT,Eastern Mediterranean,2020,76.58462,75.93498,77.24082,SEX_MLE
WHOSIS_000001,BGR,Europe,2010,70.18547,70.01925,70.36876,SEX_MLE
WHOSIS_000001,HTI,Americas,2013,61.80701,60.86998,62.80915,SEX_MLE
WHOSIS_000001,PNG,Western Pacific,2008,64.35307,63.56485,64.95998,SEX_BTSX
WHOSIS_000001,ATG,Americas,2003,75.21279,74.97645,75.57026,SEX_BTSX
WHOSIS_000001,WB_UMI,,2013,74.28342,73.98992,74.64973,SEX_BTSX
WHOSIS_000001,BHS,Americas,2010,76.05886,75.79351,76.34511,SEX_FMLE
WHOSIS_000001,WB_HI,,2005,81.34321,81.33684,81.41774,SEX_FMLE
WHOSIS_000001,SRB,Europe,2018,78.29831,78.26317,78.40296,SEX_FMLE
WHOSIS_000001,GLOBAL,,2019,75.70121,75.24995,76.20484,SEX_FMLE
WHOSIS_000001,AMR,,2011,79.16469,79.05217,79.35883,SEX_FMLE
WHOSIS_000001,HUN,Europe,2010,70.63216,70.59869,70.72692,SEX_MLE
WHOSIS_000001,SLV,Americas,2019,69.48252,69.28495,69.7366,SEX_MLE
WHOSIS_000001,PNG,Western Pacific,2000,64.30432,63.46323,65.07273,SEX_FMLE
WHOSIS_000001,AZE,Europe,2007,69.26432,68.82545,69.81533,SEX_BTSX
WHOSIS_000001,GTM,Americas,2001,68.64113,68.23253,69.04134,SEX_BTSX
WHOSIS_000001,SAU,Eastern Mediterranean,2008,72.99777,72.72368,73.35434,SEX_BTSX
WHOSIS_000001,CAN,Americas,2021,83.81498,83.77895,83.93319,SEX_FMLE
WHOSIS_000001,CYP,Europe,2018,80.06052,79.84902,80.40135,SEX_MLE
WHOSIS_000001,BIH,Europe,2006,79.63513,79.53122,79.79814,SEX_FMLE
WHOSIS_000001,GHA,Africa,2004,58.13847,57.54502,58.78491,SEX_MLE
WHOSIS_000001,ZAF,Africa,2017,67.73318,67.46212,68.05791,SEX_FMLE
WHOSIS_000001,EUR,,2016,74.08951,73.99637,74.21383,SEX_MLE
WHOSIS_000001,BEL,Europe,2008,79.56481,79.55487,79.64849,SEX_BTSX
WHOSIS_000001,RWA,Africa,2007,58.94185,58.19986,59.79776,SEX_MLE
WHOSIS_000001,PSE,Eastern Mediterranean,2007,70.80595,70.51336,71.1759,SEX_BTSX
WHOSIS_000001,AFR,,2011,60.26247,59.47945,61.11012,SEX_BTSX
WHOSIS_000001,PRY,Americas,2001,74.99164,74.33196,75.64338,SEX_BTSX
WHOSIS_000001,EGY,Eastern Mediterranean,2001,71.63469,71.3563,72.06668,SEX_FMLE
WHOSIS_000001,AUS,Western Pacific,2001,80.12984,80.12077,80.20419,SEX_BTSX
WHOSIS_000001,SEAR,,2004,64.09777,63.51881,64.6933,SEX_MLE
WHOSIS_000001,AGO,Africa,2021,60.00746,59.12133,60.87989,SEX_MLE
WHOSIS_000001,MLT,Europe,2012,80.93952,80.84067,81.13171,SEX_BTSX
WHOSIS_000001,BRB,Americas,2018,76.28319,75.75017,76.88288,SEX_BTSX
WHOSIS_000001,DJI,Eastern Mediterranean,2020,63.36187,62.331,64.24586,SEX_MLE
WHOSIS_000001,CZE,Europe,2019,79.13721,79.10062,79.24459,SEX_BTSX
WHOSIS_000001,LUX,Europe,2020,84.78626,,,SEX_FMLE
WHOSIS_000001,AZE,Europe,2021,75.19257,74.94209,75.63056,SEX_FMLE
WHOSIS_000001,URY,Americas,2001,78.86561,78.80908,78.98539,SEX_FMLE
WHOSIS_000001,CRI,Americas,2009,80.60956,80.52806,80.75833,SEX_BTSX
WHOSIS_000001,NIC,Americas,2016,75.11334,74.83585,75.44091,SEX_MLE
WHOSIS_000001,PSE,Eastern Mediterranean,2018,75.71172,75.44243,76.03089,SEX_BTSX
WHOSIS_000001,GEO,Europe,2015,72.85014,72.7253,73.03361,SEX_BTSX
WHOSIS_000001,AZE,Europe,2006,70.5652,70.21781,71.03519,SEX_FMLE
WHOSIS_000001,UKR,Europe,2013,76.31694,76.30029,76.41621,SEX_FMLE
WHOSIS_000001,AUT,Europe,2019,81.64848,81.63331,81.7321,SEX_BTSX
WHOSIS_000001,CAN,Americas,2010,79.05461,78.98573,79.12348,SEX_MLE
WHOSIS_000001,TUR,Europe,2015,76.68526,76.31627,77.05134,SEX_BTSX
WHOSIS_000001,LBR,Africa,2015,60.70622,59.86856,61.546,SEX_FMLE
WHOSIS_000001,ERI,Africa,2003,57.22781,56.38064,58.08074,SEX_BTSX
WHOSIS_000001,SUR,Americas,2004,70.80111,70.52368,71.15959,SEX_BTSX
WHOSIS_000001,GNQ,Africa,2020,62.92049,61.22747,64.39588,SEX_FMLE
