Name,IndicatorCode,IndicatorName,Language
W24_exp_date_C,W24_exp_date_C,Smokeless tobacco packaging and labelling must not display expiry dates,EN
W24_exp_date_B,W24_exp_date_B,Other smoked tobacco packaging and labelling must not display expiry dates,EN
W24_exp_date_A,W24_exp_date_A,Cigarette packaging and labelling must not display expiry dates,EN
W23_emissions_front_back_C,W23_emissions_front_back_C,Smokeless tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,EN
W23_emissions_front_back_B,W23_emissions_front_back_B,Other smoked tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,EN
W23_emissions_front_back_A,W23_emissions_front_back_A,Cigarette packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,EN
W22_emissions_qual_C,W22_emissions_qual_C,Smokeless tobacco packaging and labelling must display qualitative information on relevant constituents and emissions,EN
W22_emissions_qual_B,W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on relevant constituents and emissions,EN
W22_emissions_qual_A,W22_emissions_qual_A,Cigarette packaging and labelling must display qualitative information on relevant constituents and emissions,EN
W21_emissions_quant_C,W21_emissions_quant_C,Smokeless tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,EN
W21_emissions_quant_B,W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,EN
W21_emissions_quant_A,W21_emissions_quant_A,Cigarette packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,EN
W21_emissions_B,W21_emissions_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,EN
W21_emissions_A,W21_emissions_A,Cigarette packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,EN
W20_flavours_C,W20_flavours_C,Smokeless tobacco packaging and labelling must not use descriptors depicting flavours,EN
W20_flavours_B,W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,EN
W20_flavours_A,W20_flavours_A,Cigarette packaging and labelling must not use descriptors depicting flavours,EN
W2_pc_front_back_C,W2_pc_front_back_C,Percentage of principal display area mandated to be covered by health warnings - front and back of smokeless tobacco packaging,EN
W2_pc_front_back_B,W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,EN
W2_pc_front_back_A,W2_pc_front_back_A,Percentage of principal display area mandated to be covered by health warnings - front and back of cigarette packaging,EN
W19_colours_numbers_C,W19_colours_numbers_C,Smokeless tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,EN
W19_colours_numbers_B,W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,EN
W19_colours_numbers_A,W19_colours_numbers_A,Cigarette packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,EN
W18_misleading_terms_C,W18_misleading_terms_C,Ban on deceitful terms on smokeless tobacco packaging,EN
W18_misleading_terms_B,W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,EN
W18_misleading_terms_A,W18_misleading_terms_A,Ban on deceitful terms on cigarette packaging,EN
W17_fines_C,W17_fines_C,Health warnings on smokeless tobacco packaging law requires or establishes fines for violations,EN
W17_fines_B,W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,EN
W17_fines_A,W17_fines_A,Health warnings on cigarette packaging law requires or establishes fines for violations,EN
W16_number_hw_C,W16_number_hw_C,How many health warnings are approved by the law for smokeless tobacco packaging?,EN
W16_number_hw_B,W16_number_hw_B,How many health warnings are approved by the law for other smoked tobacco packaging?,EN
W16_number_hw_A,W16_number_hw_A,How many health warnings are approved by the law for cigarette packaging?,EN
W15_specific_hw_C,W15_specific_hw_C,Does the law mandate specific health warnings on smokeless tobacco packaging?,EN
W15_specific_hw_B,W15_specific_hw_B,Does the law mandate specific health warnings on other smoked tobacco packaging?,EN
W15_specific_hw_A,W15_specific_hw_A,Does the law mandate specific health warnings on cigarette packaging?,EN
W14_harm_effects_C,W14_harm_effects_C,Do health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on health?,EN
W14_harm_effects_B,W14_harm_effects_B,Do health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health?,EN
W14_harm_effects_A,W14_harm_effects_A,Do health warnings on cigarette packaging describe the harmful effects of tobacco use on health?,EN
W13_ind_liability_C,W13_ind_liability_C,Health warnings on smokeless tobacco packaging do not remove or diminish the liability of the tobacco industry,EN
W13_ind_liability_B,W13_ind_liability_B,Health warnings on other smoked tobacco packaging do not remove or diminish the liability of the tobacco industry,EN
W13_ind_liability_A,W13_ind_liability_A,Health warnings on cigarette packaging do not remove or diminish the liability of the tobacco industry,EN
W12_imports_dutyfree_C,W12_imports_dutyfree_C,Health warnings on smokeless tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale,EN
W12_imports_dutyfree_B,W12_imports_dutyfree_B,Health warnings on other smoked tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale,EN
W12_imports_dutyfree_A,W12_imports_dutyfree_A,Health warnings on cigarette packaging law applys to products whether manufactured domestically imported AND for duty-free sale,EN
W11_outside_pack_C,W11_outside_pack_C,Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale?,EN
W11_outside_pack_B,W11_outside_pack_B,Do health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale?,EN
W11_outside_pack_A,W11_outside_pack_A,Do health warnings appear on each cigarette package and any outside packaging and labelling used in the retail sale?,EN
W10_graphic_C,W10_graphic_C,Do the health warnings on smokeless tobacco packaging include a photograph or graphic?,EN
W10_graphic_B,W10_graphic_B,Do the health warnings on other smoked tobacco packaging include a photograph or graphic?,EN
W10_graphic_A,W10_graphic_A,Do the health warnings on cigarette packaging include a photograph or graphic?,EN
W1_HW_law_C,W1_HW_law_C,Law mandates that health warnings appear on smokeless tobacco packages,EN
W1_HW_law_B,W1_HW_law_B,Law mandates that health warnings appear on other smoked tobacco packages,EN
W1_HW_law_A,W1_HW_law_A,Law mandates that health warnings appear on tobacco packages,EN
W_Group,W_Group,Warning about the dangers of tobacco,EN
